date,open,high,low,close,price_change
2019-09-17,0.90299,0.906,0.9027,0.90296,-0.620735
2019-09-18,0.9065,0.90715,0.90294,0.9065,0.392044
2019-09-19,0.9053,0.90919,0.90342,0.9051,-0.15444
2019-09-22,0.90748,0.91172,0.90678,0.90752,0.267374
2019-09-23,0.90961,0.91032,0.90794,0.90961,0.230298
2019-09-24,0.9078,0.91338,0.9075,0.9077,-0.20998
2019-09-25,0.91309,0.91532,0.9118,0.913,0.583893
2019-09-26,0.91549,0.91694,0.91254,0.91552,0.276013
2019-09-29,0.91394,0.91847,0.9134,0.91385,-0.18241
2019-09-30,0.9175,0.91899,0.9143,0.91746,0.395032
2019-10-01,0.91446,0.91699,0.91258,0.9145,-0.32263
2019-10-02,0.91224,0.91392,0.90923,0.9121,-0.262438
2019-10-03,0.91117,0.91248,0.90973,0.91113,-0.106348
2019-10-06,0.9102,0.9121,0.909,0.9102,-0.102071
2019-10-07,0.91135,0.91352,0.90926,0.9114,0.131839
2019-10-08,0.91239,0.91278,0.90975,0.9124,0.109721
2019-10-09,0.91026,0.91071,0.9063,0.9101,-0.252082
2019-10-10,0.9079,0.90877,0.904,0.90818,-0.210966
2019-10-13,0.90677,0.90784,0.90555,0.90662,-0.171772
2019-10-14,0.90696,0.90969,0.90535,0.9067,0.00882398
2019-10-15,0.90629,0.90715,0.90283,0.90623,-0.0518363
2019-10-16,0.90299,0.90368,0.89767,0.90294,-0.363043
2019-10-17,0.8987,0.89968,0.8959,0.8987,-0.469577
2019-10-20,0.89637,0.89767,0.8944,0.8964,-0.255925
2019-10-21,0.8967,0.8989,0.896,0.89672,0.0356984
2019-10-22,0.8985,0.90025,0.8982,0.89853,0.201847
2019-10-23,0.89826,0.9014,0.8956,0.89828,-0.0278232
2019-10-24,0.90054,0.90249,0.8988,0.90058,0.256045
2019-10-27,0.90214,0.90276,0.90036,0.90218,0.177663
2019-10-28,0.9007,0.90293,0.89938,0.90097,-0.13412
2019-10-29,0.89991,0.90063,0.8988,0.8997,-0.140959
2019-10-30,0.89652,0.89817,0.8947,0.8965,-0.355674
2019-10-31,0.89637,0.89841,0.8949,0.89629,-0.0234244
2019-11-03,0.8953,0.8975,0.89469,0.89553,-0.084794
2019-11-04,0.89861,0.90378,0.89775,0.89859,0.341697
2019-11-05,0.90298,0.90355,0.9013,0.903,0.490769
2019-11-06,0.90329,0.90596,0.9016,0.90331,0.03433
2019-11-07,0.90624,0.90762,0.90595,0.90747,0.460528
2019-11-10,0.90721,0.90767,0.9055,0.90724,-0.0253452
2019-11-11,0.90622,0.90877,0.9057,0.90617,-0.11794
2019-11-12,0.90809,0.909,0.9074,0.90807,0.209674
2019-11-13,0.90837,0.90985,0.90762,0.908,-0.00770866
2019-11-14,0.9072,0.90783,0.9045,0.9074,-0.0660793
2019-11-17,0.90465,0.90465,0.90163,0.90456,-0.312982
2019-11-18,0.90316,0.90381,0.9021,0.90315,-0.155877
2019-11-19,0.9025,0.90468,0.9023,0.90253,-0.0686486
2019-11-20,0.90261,0.90385,0.90119,0.90262,0.00997197
2019-11-21,0.9037,0.90673,0.90264,0.90368,0.117436
2019-11-24,0.9071,0.90858,0.9063,0.90723,0.392838
2019-11-25,0.9081,0.90843,0.9069,0.9079,0.0738512
2019-11-26,0.90727,0.90964,0.90727,0.90723,-0.0737967
2019-11-27,0.90859,0.90896,0.9075,0.90869,0.160929
2019-11-28,0.90816,0.91051,0.90689,0.90812,-0.0627277
2019-12-01,0.90763,0.90878,0.90178,0.90752,-0.0660706
2019-12-02,0.90285,0.90363,0.9015,0.9026,-0.542137
2019-12-03,0.90238,0.90351,0.89981,0.9021,-0.0553955
2019-12-04,0.90231,0.90253,0.9005,0.90228,0.0199534
2019-12-05,0.90056,0.90561,0.8999,0.90046,-0.201711
2019-12-08,0.90434,0.90465,0.9025,0.90425,0.420896
2019-12-09,0.90379,0.90387,0.9011,0.90375,-0.0552944
2019-12-10,0.9014,0.9032,0.901,0.90149,-0.250069
2019-12-11,0.89821,0.89994,0.89659,0.898,-0.387137
2019-12-12,0.89418,0.89937,0.8939,0.89397,-0.448775
2019-12-15,0.89886,0.899,0.89623,0.89892,0.55371
2019-12-16,0.8979,0.8984,0.895,0.89791,-0.112357
2019-12-17,0.89674,0.89998,0.89674,0.89675,-0.129189
2019-12-18,0.89961,0.9001,0.89747,0.89961,0.318929
2019-12-19,0.89898,0.90299,0.8988,0.8988,-0.090039
2019-12-22,0.90254,0.90322,0.9011,0.90254,0.41611
2019-12-23,0.90147,0.90329,0.9011,0.9014,-0.12631
2019-12-24,0.9016,0.9027,0.9002,0.9017,0.0332816
2019-12-25,0.9013,0.9023,0.9005,0.90127,-0.0476877
2019-12-26,0.9008,0.9009,0.8944,0.90081,-0.0510391
2019-12-29,0.89433,0.89433,0.89121,0.89427,0.0
2019-12-30,0.8925,0.8928,0.8896,0.89267,-0.178917
2019-12-31,0.8912,0.8961,0.8906,0.8912,-0.164675
2020-01-01,0.89135,0.89551,0.8907,0.8912,0.0
2020-01-02,0.89519,0.89882,0.8944,0.89514,0.442101
2020-01-05,0.89586,0.89621,0.8922,0.8959,0.0849029
2020-01-06,0.89319,0.89808,0.8929,0.89302,-0.321464
2020-01-07,0.8964,0.90002,0.89564,0.89648,0.387449
2020-01-08,0.89973,0.9013,0.8991,0.89983,0.373684
2020-01-09,0.90015,0.90202,0.8992,0.9,0.0188925
2020-01-12,0.89956,0.89976,0.89729,0.89955,-0.05
2020-01-13,0.89811,0.90045,0.8972,0.89801,-0.171197
2020-01-14,0.8985,0.89926,0.89578,0.8984,0.0434294
2020-01-15,0.89664,0.89849,0.8951,0.89654,-0.207035
2020-01-16,0.89783,0.90191,0.89726,0.8977,0.129386
2020-01-19,0.90129,0.90273,0.9005,0.90134,0.405481
2020-01-20,0.90119,0.902,0.8993,0.90115,-0.0210797
2020-01-21,0.90205,0.90321,0.90108,0.90207,0.102092
2020-01-22,0.9011,0.90604,0.90064,0.90119,-0.0975534
2020-01-23,0.90454,0.90734,0.90409,0.90455,0.37284
2020-01-26,0.90692,0.90826,0.9058,0.907,0.270853
2020-01-27,0.90747,0.90921,0.9069,0.90746,0.0507166
2020-01-28,0.9072,0.90965,0.9066,0.90723,-0.0253455
2020-01-29,0.90793,0.90841,0.90608,0.9077,0.051806
2020-01-30,0.90672,0.90761,0.9017,0.90669,-0.11127
2020-02-02,0.90179,0.90551,0.90179,0.90173,-0.547045
2020-02-03,0.90392,0.9063,0.9037,0.90392,0.242866
2020-02-04,0.90541,0.90923,0.9051,0.9052,0.141605
2020-02-05,0.90905,0.91195,0.90803,0.9089,0.408749
2020-02-06,0.91066,0.9135,0.91017,0.9105,0.176037
2020-02-09,0.91335,0.91662,0.9123,0.9133,0.307523
2020-02-10,0.9164,0.91798,0.91516,0.9163,0.328479
2020-02-11,0.9156,0.91852,0.91533,0.9158,-0.0545673
2020-02-12,0.91942,0.92289,0.9182,0.91946,0.399651
2020-02-13,0.922,0.92325,0.9206,0.922,0.276249
2020-02-16,0.92246,0.92334,0.92132,0.92236,0.0390456
2020-02-17,0.92276,0.92705,0.92259,0.9225,0.0151785
2020-02-18,0.92638,0.92733,0.9252,0.92632,0.414092
2020-02-19,0.9251,0.92768,0.92413,0.92506,-0.136022
2020-02-20,0.92698,0.92698,0.9205,0.92696,0.205392
2020-02-23,0.92263,0.9252,0.9205,0.92259,-0.471433
2020-02-24,0.92174,0.92321,0.91897,0.92173,-0.0932158
2020-02-25,0.91903,0.92118,0.91713,0.91895,-0.301607
2020-02-26,0.91864,0.91864,0.90862,0.91862,-0.0359106
2020-02-27,0.90946,0.91311,0.90475,0.90932,-1.01239
2020-03-01,0.90477,0.90602,0.89573,0.90487,-0.489377
2020-03-02,0.89732,0.90112,0.89226,0.89734,-0.832164
2020-03-03,0.89467,0.90115,0.894,0.8944,-0.327635
2020-03-04,0.89774,0.89914,0.8925,0.89774,0.373435
2020-03-05,0.89096,0.89175,0.88069,0.89096,-0.75523
2020-03-08,0.87826,0.88053,0.86988,0.87827,-1.42431
2020-03-09,0.87739,0.88229,0.87543,0.87735,-0.104751
2020-03-10,0.88369,0.88818,0.87982,0.88367,0.720351
2020-03-11,0.88804,0.90246,0.88239,0.88798,0.487739
2020-03-12,0.89417,0.90372,0.89116,0.89406,0.6847
2020-03-15,0.89609,0.90182,0.89004,0.89643,0.265083
2020-03-16,0.89579,0.91258,0.89373,0.8958,-0.0702788
2020-03-17,0.9077,0.9232,0.90539,0.90781,1.3407
2020-03-18,0.91379,0.93476,0.91361,0.91228,0.492394
2020-03-19,0.93822,0.93857,0.92337,0.93832,2.85439
2020-03-22,0.93567,0.93805,0.9238,0.93507,-0.346364
2020-03-23,0.92896,0.92994,0.9184,0.92897,-0.652358
2020-03-24,0.92582,0.92849,0.9217,0.9257,-0.352003
2020-03-25,0.91848,0.91941,0.90699,0.91831,-0.798315
2020-03-26,0.90529,0.91281,0.902,0.90512,-1.43633
2020-03-29,0.89804,0.90808,0.89784,0.89774,-0.815361
